"total_time","status","distance","air_time","month","day_of_week","day","scheduled_departure","late_night_departure","departure_delay","scheduled_arrival","arrival_delay","airline","destination_airport","state","latitude","longitude"
124,"delayed",252,39,"12","Thur",3,1958,FALSE,72,2110,52,"DL","GRB","WI",44.48507,-88.12959
189,"delayed",1034,142,"7","Wed",29,2005,FALSE,9,2244,30,"NK","IAH","TX",29.98047,-95.33972
257,"delayed",1124,155,"11","Thur",12,1325,FALSE,57,1715,87,"DL","BOS","MA",42.36435,-71.00518
159,"delayed",297,46,"8","Fri",21,1525,FALSE,100,1630,94,"DL","MKE","WI",42.94722,-87.89658
192,"delayed",408,57,"1","Fri",9,1500,FALSE,121,1726,106,"EV","GRR","MI",42.88082,-85.52277
272,"delayed",334,53,"3","Mon",23,622,FALSE,135,801,173,"UA","ORD","IL",41.9796,-87.90446
145,"on time",680,123,"1","Thur",1,2005,FALSE,3,2115,15,"WN","DEN","CO",39.85841,-104.667
169,"delayed",695,99,"3","Tue",10,1450,FALSE,42,1654,45,"OO","BNA","TN",36.12448,-86.67818
177,"on time",1020,133,"12","Tue",1,905,FALSE,13,1244,18,"DL","LGA","NY",40.77724,-73.87261
249,"delayed",1310,178,"1","Mon",12,750,FALSE,34,1210,49,"NK","MCO","FL",28.42889,-81.31603
194,"on time",1034,126,"8","Tue",25,1130,FALSE,49,1425,19,"EV","IAH","TX",29.98047,-95.33972
106,"on time",448,65,"12","Fri",4,1500,FALSE,25,1629,17,"DL","STL","MO",38.74769,-90.35999
224,"delayed",334,63,"2","Wed",18,1055,FALSE,131,1225,134,"OO","ORD","IL",41.9796,-87.90446
245,"delayed",334,54,"1","Mon",5,617,FALSE,117,750,152,"NK","ORD","IL",41.9796,-87.90446
66,"on time",76,21,"6","Tue",23,1920,FALSE,12,2009,17,"OO","RST","MN",43.90883,-92.49799
142,"delayed",349,64,"12","Wed",16,900,FALSE,23,1030,52,"WN","MDW","IL",41.78598,-87.75242
126,"delayed",489,80,"8","Mon",31,1446,FALSE,24,1521,31,"OO","RAP","SD",44.04532,-103.05737
281,"delayed",680,125,"7","Wed",15,830,FALSE,130,928,163,"F9","DEN","CO",39.85841,-104.667
196,"on time",1142,173,"9","Wed",30,1136,FALSE,-3,1336,16,"OO","BOI","ID",43.56444,-116.22278
190,"delayed",1008,135,"7","Mon",13,1145,FALSE,36,1529,26,"EV","EWR","NJ",40.6925,-74.16866
113,"delayed",386,62,"1","Sun",11,2140,FALSE,36,2310,23,"EV","BIS","ND",46.77411,-100.74672
298,"delayed",1299,202,"2","Sat",28,2159,FALSE,83,2322,95,"NK","LAS","NV",36.08036,-115.15233
193,"delayed",695,92,"3","Tue",3,1915,FALSE,1,2131,57,"OO","BNA","TN",36.12448,-86.67818
427,"delayed",852,129,"4","Wed",1,2001,FALSE,282,2228,280,"NK","DFW","TX",32.89595,-97.0372
187,"delayed",907,123,"8","Thur",6,1620,FALSE,36,1945,42,"F9","ATL","GA",33.64044,-84.42694
135,"delayed",528,83,"7","Tue",14,1335,FALSE,-6,1610,40,"DL","DTW","MI",42.21206,-83.34884
157,"delayed",700,98,"11","Sun",1,1947,FALSE,35,2158,26,"DL","MEM","TN",35.04242,-89.97667
108,"on time",334,55,"1","Mon",12,1850,FALSE,-9,2022,16,"NK","ORD","IL",41.9796,-87.90446
86,"delayed",228,41,"9","Fri",18,2000,FALSE,26,2102,24,"DL","MSN","WI",43.13986,-89.33751
806,"delayed",1013,141,"8","Sat",29,1937,FALSE,648,2131,632,"DL","MSO","MT",46.91631,-114.09056
137,"delayed",491,81,"8","Sun",23,1314,FALSE,12,1548,43,"OO","FNT","MI",42.9655,-83.74346
136,"delayed",596,75,"2","Sat",7,1530,FALSE,39,1825,21,"DL","CVG","KY",39.04614,-84.66217
158,"delayed",455,63,"2","Mon",23,1300,FALSE,54,1535,63,"OO","LAN","MI",42.7787,-84.58736
195,"delayed",1050,119,"12","Tue",29,1935,FALSE,30,2312,38,"DL","BDL","CT",41.93887,-72.68323
245,"on time",1399,205,"1","Fri",9,1950,FALSE,5,2137,18,"DL","SEA","WA",47.44898,-122.30931
143,"delayed",331,56,"11","Wed",4,1120,FALSE,52,1242,61,"OO","LNK","NE",40.85097,-96.75925
105,"delayed",190,33,"1","Tue",6,1418,FALSE,59,1522,41,"OO","RHI","WI",45.63119,-89.46745
183,"on time",1020,119,"5","Tue",19,1915,FALSE,50,2300,18,"DL","LGA","NY",40.77724,-73.87261
146,"on time",680,129,"6","Wed",24,1728,FALSE,-2,1839,15,"DL","DEN","CO",39.85841,-104.667
194,"delayed",546,86,"2","Sun",8,1115,FALSE,88,1315,74,"OO","ISN","ND",48.17794,-103.64235
