"success","goal","duration","name_length","blurb_length","launch_hr","deadline_hr","created_at_hr","deadline_weekday","created_at_weekday","category","country","currency","launch_month","launch_weekday"
"FALSE",50000,60,7,12,12,12,18,"Tuesday","Thursday","Web","US","USD","Mar","Fri"
"FALSE",1e+05,30,4,14,16,16,12,"Sunday","Friday","Web","US","USD","Apr","Fri"
"FALSE",150000,28,7,14,11,11,4,"Monday","Saturday","Web","GB","GBP","Mar","Mon"
"FALSE",3000,22.6260416666667,6,12,19,10,10,"Friday","Tuesday","Web","GB","GBP","Nov","Wed"
"FALSE",10000,30,3,6,16,16,0,"Saturday","Wednesday","Web","CA","CAD","Jul","Thu"
"FALSE",2015,15,4,16,13,13,23,"Saturday","Wednesday","Web","US","USD","Jun","Fri"
"FALSE",6000,60,3,16,11,11,10,"Saturday","Monday","Web","US","USD","Nov","Tue"
"FALSE",12000,45,4,17,11,11,21,"Saturday","Saturday","Web","US","USD","Aug","Wed"
"FALSE",15000,60,5,8,10,10,22,"Monday","Monday","Web","US","USD","Dec","Thu"
"FALSE",25000,5,4,13,16,16,15,"Tuesday","Wednesday","Web","GB","GBP","Feb","Thu"
"FALSE",10000,30,1,13,13,13,15,"Sunday","Thursday","Web","US","USD","Aug","Fri"
"FALSE",75000,60,1,16,7,7,8,"Sunday","Sunday","Web","CA","CAD","Jan","Wed"
"FALSE",7000,30,4,8,11,11,16,"Wednesday","Thursday","Web","FR","EUR","Jun","Mon"
"FALSE",1000,14,5,15,12,12,18,"Wednesday","Tuesday","Web","CA","CAD","Sep","Wed"
"FALSE",10000,15,5,10,16,16,17,"Tuesday","Friday","Web","GB","GBP","Nov","Mon"
"FALSE",2500,30,7,9,14,14,21,"Thursday","Saturday","Web","CA","CAD","Dec","Tue"
"FALSE",50000,60,5,11,18,18,21,"Tuesday","Tuesday","Web","US","USD","Jun","Fri"
"FALSE",25000,60,1,12,0,0,2,"Saturday","Wednesday","Web","US","USD","May","Tue"
"FALSE",30000,58.1261226851852,6,4,10,13,10,"Thursday","Thursday","Web","US","USD","Jan","Tue"
"FALSE",20000,60,6,12,11,11,11,"Saturday","Sunday","Web","US","USD","Aug","Tue"
"FALSE",5000,20,1,6,17,17,21,"Sunday","Tuesday","Web","AU","AUD","Jun","Mon"
"FALSE",70000,33.3208912037037,8,15,8,16,10,"Sunday","Saturday","Web","GB","GBP","Oct","Tue"
"FALSE",5000,7,1,14,16,16,12,"Monday","Sunday","Web","US","USD","Mar","Mon"
"FALSE",260000,30,4,15,16,16,21,"Sunday","Thursday","Web","SE","SEK","Apr","Fri"
"FALSE",1e+05,30,2,14,13,13,14,"Wednesday","Wednesday","Web","US","USD","May","Mon"
"FALSE",5e+05,30,5,14,10,10,8,"Saturday","Saturday","Web","US","USD","Aug","Thu"
"FALSE",5000,60,4,15,20,20,5,"Sunday","Wednesday","Web","AU","AUD","Nov","Wed"
"FALSE",3000,30,4,14,6,6,23,"Tuesday","Monday","Web","AU","AUD","Oct","Sun"
"FALSE",15000,30,9,10,23,23,20,"Saturday","Saturday","Web","US","USD","Dec","Thu"
"FALSE",250,30,6,10,5,5,6,"Friday","Wednesday","Web","GB","GBP","Sep","Wed"
"FALSE",55000,40,7,12,17,17,10,"Monday","Wednesday","Web","CA","CAD","Aug","Wed"
"FALSE",20000,30,4,13,12,12,12,"Sunday","Tuesday","Web","GB","GBP","Nov","Fri"
"FALSE",20000,20,1,11,10,10,17,"Tuesday","Tuesday","Web","IE","EUR","Jun","Wed"
"FALSE",25000,59.5724189814815,4,13,19,9,12,"Wednesday","Wednesday","Web","US","USD","Feb","Sat"
"FALSE",30000,60,2,8,22,22,23,"Saturday","Thursday","Web","US","USD","Aug","Tue"
"FALSE",10000,30.5774421296296,7,8,9,22,14,"Saturday","Tuesday","Web","US","USD","Oct","Thu"
"FALSE",575,27,2,16,2,2,7,"Tuesday","Friday","Web","CA","CAD","Dec","Wed"
"FALSE",2e+05,30,1,9,10,10,7,"Wednesday","Wednesday","Web","SE","SEK","Sep","Mon"
"FALSE",60000,30,7,10,11,11,18,"Friday","Monday","Web","DE","EUR","Jun","Wed"
"FALSE",2500,30,6,15,16,16,11,"Friday","Friday","Web","US","USD","Oct","Wed"
"FALSE",1100,15,2,16,13,13,18,"Thursday","Thursday","Web","US","USD","Sep","Wed"
"FALSE",49500,40,1,6,7,7,14,"Tuesday","Monday","Web","CA","CAD","Oct","Thu"
"FALSE",3000,3,3,16,17,17,13,"Thursday","Monday","Web","US","USD","Mar","Mon"
"FALSE",10000,30,1,7,13,13,13,"Wednesday","Saturday","Web","CA","CAD","Aug","Mon"
"FALSE",12000,30,2,18,13,13,0,"Tuesday","Friday","Web","GB","GBP","Nov","Sun"
"FALSE",20000,30,5,16,8,8,12,"Tuesday","Saturday","Web","US","USD","Mar","Sun"
"FALSE",10000,30,3,14,16,16,20,"Monday","Sunday","Web","US","USD","Dec","Sat"
"FALSE",15000,40,8,12,12,12,14,"Tuesday","Monday","Web","GB","GBP","Mar","Thu"
"FALSE",1000,56.2692824074074,4,4,14,21,21,"Wednesday","Friday","Web","US","USD","Sep","Wed"
"FALSE",2000,7,8,11,14,14,6,"Friday","Friday","Web","US","USD","May","Fri"
"FALSE",54000,30,6,14,0,0,15,"Saturday","Monday","Web","US","USD","May","Thu"
"FALSE",10000,30,6,14,10,10,10,"Sunday","Tuesday","Web","CA","CAD","Nov","Fri"
"FALSE",35000,21,10,14,14,14,17,"Tuesday","Friday","Web","US","USD","Apr","Tue"
"FALSE",7800,30,6,14,4,4,3,"Wednesday","Tuesday","Web","NL","EUR","Apr","Mon"
"FALSE",2500,29.9994444444444,2,12,15,15,14,"Wednesday","Sunday","Web","US","USD","Apr","Mon"
"FALSE",500,30,6,11,10,10,15,"Wednesday","Tuesday","Web","US","USD","Apr","Mon"
"FALSE",10000,30,5,12,12,12,13,"Thursday","Tuesday","Web","US","USD","Aug","Tue"
"FALSE",3000,60,5,12,17,17,19,"Sunday","Wednesday","Web","US","USD","Dec","Wed"
"FALSE",10000,30,3,14,9,9,2,"Thursday","Monday","Web","IE","EUR","Oct","Tue"
"FALSE",20000,30,1,14,3,3,11,"Friday","Tuesday","Web","GB","GBP","May","Wed"
"FALSE",50000,30,6,11,20,20,12,"Wednesday","Tuesday","Web","US","USD","Oct","Mon"
"FALSE",4500,30,3,13,12,12,9,"Wednesday","Sunday","Web","GB","GBP","Apr","Mon"
"FALSE",3000,30,5,13,16,16,9,"Saturday","Wednesday","Web","US","USD","Jan","Thu"
"FALSE",1e+05,28.2187384259259,4,14,17,22,22,"Wednesday","Monday","Web","US","USD","Aug","Wed"
"FALSE",15000,21,2,10,17,17,23,"Thursday","Monday","Web","US","USD","Nov","Thu"
"FALSE",1e+05,30,1,12,2,2,7,"Saturday","Thursday","Web","AU","AUD","Oct","Thu"
"FALSE",60000,30,8,13,7,7,7,"Friday","Wednesday","Web","US","USD","Nov","Wed"
"FALSE",3000,30,9,15,13,13,11,"Thursday","Friday","Web","US","USD","May","Tue"
"FALSE",50000,29.9941087962963,6,10,19,19,7,"Thursday","Friday","Web","US","USD","Sep","Tue"
"FALSE",17000,45,4,14,12,12,16,"Monday","Thursday","Web","US","USD","Sep","Fri"
"FALSE",6000,30,4,6,15,15,20,"Sunday","Wednesday","Web","AU","AUD","Jul","Fri"
"FALSE",9000,30.9420486111111,2,13,22,21,21,"Friday","Tuesday","Web","US","USD","Sep","Tue"
"FALSE",25000,30,7,16,10,10,8,"Friday","Sunday","Web","CA","CAD","Feb","Wed"
"FALSE",50000,30,9,16,19,19,11,"Sunday","Wednesday","Web","US","USD","Jul","Fri"
"FALSE",2000,14,4,16,12,12,14,"Wednesday","Monday","Web","US","USD","Dec","Wed"
"FALSE",1700,30,7,13,17,17,15,"Friday","Tuesday","Web","US","USD","Dec","Wed"
"FALSE",15000,30,2,11,5,5,23,"Thursday","Saturday","Web","AU","AUD","Mar","Tue"
"FALSE",5000,30,3,15,16,16,18,"Wednesday","Wednesday","Web","US","USD","May","Mon"
"FALSE",20000,30,1,12,13,13,16,"Thursday","Monday","Web","US","USD","Apr","Tue"
"FALSE",10000,30,7,15,11,11,13,"Thursday","Friday","Web","IE","EUR","May","Tue"
"FALSE",50000,60,7,15,21,21,21,"Sunday","Thursday","Web","US","USD","Oct","Wed"
"FALSE",6000,60,8,14,1,1,2,"Monday","Thursday","Web","DE","EUR","Sep","Thu"
"FALSE",8000,28.1024884259259,6,11,22,0,22,"Thursday","Friday","Web","US","USD","Feb","Wed"
