"id","name","mobility","state","population","urban","seg_racial","seg_income","seg_poverty","seg_affluenc.e","commute","income","gini","share_01","gini_99","middle_class","local_tax_rate","local_gov_spending","progressivity","eitc","school_spending","student_teacher_ratio","colleges","tuition","graduation","labor_force_participation","manufacturing","teenage_labor","migration_in","migration_out","social_capital","longitude","latitude"
29006,"Hays",0.157894731,"KS",38196,"rural",0.039,0.031,0.027,0.038,0.711,33330,0.327,8.124,0.246,0.659,0.029,1881,0.2,1.905,6.468,13.1,0.026,1353,0.107,0.67,0.065,0.006,0.012,0.017,1.49,-99.22112274,38.91882706
29007,"Township 11",0.115107916,"KS",8631,"rural",0.026,0.002,0.002,0.001,0.63,34104,0.28,7.854,0.202,0.702,0.042,3309,0.2,1.905,7.61,12,NA,NA,NA,0.608,0.079,0.006,0.004,0.009,1.698,-99.64243317,39.31253433
29008,"Center",0.149425283,"KS",5609,"rural",0.01,0.002,0.002,0.001,0.671,38615,0.286,4.858,0.238,0.67,0.046,3294,0.2,1.905,8.285,10.9,NA,NA,NA,0.624,0.033,0.007,0,0.003,2.434,-100.0859909,38.47960663
29101,"Concordia",0.152823925,"KS",19894,"rural",0.021,0.009,0.009,0.007,0.62,36131,0.329,9.884,0.23,0.683,0.028,2256,0.2,1.905,7.398,12.2,0.05,1020,-0.009,0.613,0.101,0.007,0.005,0.007,2.373,-97.84165955,39.68053436
29102,"Superior",0.1863354,"NE",11112,"rural",0.008,0.004,0.005,0.006,0.634,35206,0.419,20.119,0.218,0.685,0.033,2611,1.72,0,7.74,11.7,NA,NA,NA,0.615,0.102,0.007,0,0.011,2.516,-97.82563782,40.12400436
29103,"Beloit",0.150375933,"KS",11384,"rural",0.014,0.008,0.006,0.008,0.69,36359,0.309,9.313,0.215,0.682,0.027,2243,0.2,1.905,7.754,12.3,0.088,NA,0.417,0.638,0.102,0.007,0.005,0.004,2.018,-98.48547363,39.3434639
29104,"Salina",0.082998663,"KS",63338,"rural",0.07,0.069,0.048,0.09,0.594,35541,0.375,11.286,0.262,0.633,0.023,1964,0.2,1.905,5.878,15.7,0.032,5400,0.074,0.692,0.167,0.006,0.018,0.019,1.742,-97.88715363,39.02124405
29201,"Hiawatha",0.171821311,"KS",21441,"rural",0.115,0.008,0.005,0.005,0.578,34022,0.317,8.562,0.231,0.68,0.021,1956,0.2,1.905,6.534,14.3,NA,NA,NA,0.629,0.139,0.006,0.009,0.017,2.298,-95.83583832,39.75350189
29202,"Marysville",0.145228222,"KS",17448,"rural",0.011,0.005,0.001,0.007,0.557,34953,0.346,10.779,0.238,0.652,0.042,4099,0.2,1.905,7.199,12.2,NA,NA,NA,0.634,0.133,0.006,0.006,0.006,2.206,-96.819664,39.76867676
29203,"Manhattan",0.088531189,"KS",143269,"urban",0.139,0.051,0.056,0.049,0.558,28788,0.324,6.743,0.257,0.64,0.027,1680,0.2,1.905,6.102,15.6,0.021,2356,0.243,0.701,0.082,0.005,0.019,0.032,-0.177,-96.54640961,39.08251953
29204,"Topeka",0.070468798,"KS",324513,"urban",0.128,0.087,0.083,0.092,0.397,35816,0.37,9.003,0.28,0.573,0.025,2006,0.2,1.905,6.66,16.4,0.018,3569,0.143,0.683,0.095,0.006,0.019,0.02,1.13,-95.84705353,39.0243988
29301,"Wichita",0.072246693,"KS",553506,"urban",0.216,0.102,0.086,0.113,0.344,38847,0.374,12.404,0.249,0.537,0.024,2058,0.2,1.905,6.149,17.4,0.009,2786,-0.09,0.68,0.244,0.005,0.016,0.018,0.478,-97.57659912,37.52082443
29302,"Newton",0.103496507,"KS",75784,"urban",0.073,0.012,0.01,0.015,0.563,36055,0.279,6.387,0.215,0.657,0.025,2175,0.2,1.905,7.414,15.3,0.079,11661,0.112,0.666,0.221,0.006,0.015,0.018,2.756,-97.33188629,38.26798248
29303,"Winfield",0.10986267,"KS",51584,"rural",0.05,0.023,0.022,0.027,0.504,33686,0.362,12.208,0.24,0.643,0.025,2477,0.2,1.905,6.473,14.9,0.039,3652,-0.112,0.613,0.202,0.005,0.015,0.021,0.598,-96.32216644,37.46088028
29401,"Ottawa",0.092639595,"KS",51067,"rural",0.039,0.02,0.018,0.02,0.444,32282,0.302,6.638,0.235,0.65,0.023,2317,0.2,1.905,6.182,14.9,0.039,3650,-0.08,0.649,0.182,0.005,0.019,0.02,0.836,-95.37495422,38.20166779
29402,"Emporia",0.10940171,"KS",47830,"rural",0.147,0.033,0.034,0.039,0.595,29885,0.313,6.731,0.246,0.63,0.037,2568,0.2,1.905,8.784,14.9,0.042,1692,0.056,0.689,0.198,0.005,0.011,0.02,0.753,-96.11869049,38.32172775
29403,"Bartlesville",0.089498803,"KS",145981,"rural",0.099,0.045,0.034,0.053,0.529,34266,0.387,7.497,0.312,0.585,0.017,2116,0.2,1.905,5.039,16.3,0.034,1865,-0.083,0.606,0.217,0.005,0.012,0.015,0.883,-95.57122803,37.16532898
29501,"Leavenworth",0.080346108,"KS",85465,"urban",0.089,0.075,0.071,0.072,0.425,33080,0.296,5.759,0.239,0.593,0.019,1378,0.2,1.905,6.836,16,0.023,12305,0.084,0.621,0.106,0.005,0.047,0.048,-0.548,-95.05719757,39.27693176
29502,"Kansas City",0.070146576,"MO",1762873,"urban",0.306,0.121,0.106,0.134,0.281,42531,0.437,14.187,0.296,0.502,0.026,2569,0,0,6.45,16.2,0.014,4817,-0.102,0.691,0.113,0.006,0.017,0.016,0.185,-94.38174438,38.82955933
29503,"St. Joseph",0.083113454,"MO",158300,"urban",0.088,0.034,0.029,0.037,0.406,32194,0.366,8.984,0.277,0.612,0.018,1386,0,0,5.093,14.9,0.019,2148,-0.086,0.614,0.158,0.005,0.014,0.015,0.698,-94.72216797,39.80957031
29504,"Sedalia",0.082563154,"MO",88232,"rural",0.104,0.019,0.019,0.019,0.437,31289,0.37,8.315,0.287,0.586,0.014,2237,0,0,4.665,15,0.011,1950,-0.115,0.592,0.202,0.005,0.021,0.018,0.7,-93.55834961,38.25394058
29505,"Polk",0.112745099,"MO",33693,"rural",0.046,0.015,0.016,0.011,0.569,27754,0.312,6.424,0.248,0.667,0.019,1336,0,0,5.779,12.3,0.059,2369,0.159,0.631,0.169,0.005,0.01,0.015,0.927,-95.29441833,40.23490524
29506,"Bethany",0.120845921,"MO",18093,"rural",0.012,0.007,0.012,0.006,0.468,31181,0.295,6.668,0.228,0.625,0.016,1696,0,0,5.239,12.8,NA,NA,NA,0.609,0.104,0.005,0.009,0.008,2.356,-94.29198456,40.35356903
29601,"Columbia",0.065512978,"MO",302388,"urban",0.131,0.075,0.085,0.068,0.422,32705,0.39,11.061,0.279,0.577,0.019,1593,0,0,5.346,15.3,0.033,5571,0.179,0.682,0.092,0.005,0.019,0.017,1.107,-92.4945755,38.80968475
29602,"Eldon",0.067785665,"MO",79924,"rural",0.021,0.023,0.017,0.027,0.336,34165,0.401,7.975,0.321,0.553,0.017,1062,0,0,4.696,15.7,NA,NA,NA,0.584,0.124,0.006,0.023,0.019,-0.929,-92.62184906,38.16008759
